A33,19.6,2.893,127,772,61.867,30.805,0.493,Moderately Healthy Plant,41.983,35.611,0.849,Very Healthy Plant,57.317,34.607,0.838,Very Healthy Plant,0.000
A34,15.1,1.949,135,640,66.633,26.773,0.411,Moderately Healthy Plant,43.400,26.041,0.831,Very Healthy Plant,68.717,28.468,0.809,Very Healthy Plant,0.000
A35,17.1,1.526,87,682,50.300,23.855,0.465,Moderately Healthy Plant,46.417,27.757,0.837,Very Healthy Plant,43.733,26.402,0.807,Very Healthy Plant,0.000
A36,17.7,2.18,120,730,63.367,33.593,0.447,Moderately Healthy Plant,40.233,38.813,0.845,Very Healthy Plant,57.767,31.406,0.841,Very Healthy Plant,0.000
A37,17.1,1.906,27,585,64.700,28.704,0.513,Moderately Healthy Plant,44.933,28.240,0.826,Very Healthy Plant,62.300,31.557,0.757,Very Healthy Plant,0.000
A38,14.4,2.235,119,482,66.467,18.672,0.445,Moderately Healthy Plant,78.783,18.922,0.821,Very Healthy Plant,57.150,16.865,0.743,Very Healthy Plant,0.000
A39,18.9,2.483,46,570,66.117,21.956,0.339,Moderately Healthy Plant,46.167,22.396,0.819,Very Healthy Plant,78.667,22.577,0.770,Very Healthy Plant,0.000
A40,14.9,2.239,74,578,72.167,20.342,0.478,Moderately Healthy Plant,44.033,16.343,0.848,Very Healthy Plant,53.917,18.586,0.795,Very Healthy Plant,0.000
A41,11,2.575,151,509,47.533,14.300,0.495,Moderately Healthy Plant,40.283,16.490,0.810,Very Healthy Plant,47.633,12.698,0.794,Very Healthy Plant,0.000
A42,17.7,2.519,115,636,58.217,24.054,0.450,Moderately Healthy Plant,38.033,23.525,0.852,Very Healthy Plant,44.167,21.855,0.847,Very Healthy Plant,0.000
A43,20.1,2.52,75,720,48.333,32.334,0.605,Moderately Healthy Plant,42.500,37.971,0.880,Very Healthy Plant,47.950,31.349,0.819,Very Healthy Plant,0.000
A44,14.4,2.557,121,52,65.617,13.306,0.465,Moderately Healthy Plant,42.883,16.007,0.887,Very Healthy Plant,45.000,12.261,0.854,Very Healthy Plant,0.000
A45,16.5,2.204,55,681,48.117,21.099,0.545,Moderately Healthy Plant,45.983,29.869,0.838,Very Healthy Plant,43.450,22.832,0.828,Very Healthy Plant,0.000
A46,18.3,2.366,107,788,48.300,24.394,0.622,Moderately Healthy Plant,52.583,23.097,0.847,Very Healthy Plant,43.450,26.470,0.831,Very Healthy Plant,0.000
A47,14.8,2.301,96,578,65.683,14.775,0.499,Moderately Healthy Plant,55.433,20.296,0.822,Very Healthy Plant,51.800,12.907,0.753,Very Healthy Plant,1.825
A48,15,2.183,97,500,69.900,15.528,0.520,Moderately Healthy Plant,50.983,15.295,0.814,Very Healthy Plant,68.417,15.012,0.788,Very Healthy Plant,0.000
A49,16.4,2.243,107,779,59.633,23.144,0.599,Moderately Healthy Plant,61.600,34.717,0.826,Very Healthy Plant,57.783,21.651,0.815,Very Healthy Plant,0.000
A50,13.8,2.144,103,516,74.850,16.876,0.583,Moderately Healthy Plant,63.833,18.460,0.805,Very Healthy Plant,64.400,13.804,0.735,Very Healthy Plant,0.000
A51,15.4,1.953,74,765,66.183,25.191,0.598,Moderately Healthy Plant,49.917,30.984,0.845,Very Healthy Plant,41.733,25.294,0.785,Very Healthy Plant,0.000
A52,17.7,2.648,66,732,66.117,23.363,0.576,Moderately Healthy Plant,62.050,24.771,0.827,Very Healthy Plant,38.667,22.058,0.780,Very Healthy Plant,0.000
A53,20.7,2.205,59,712,76.233,34.177,0.605,Moderately Healthy Plant,61.233,39.701,0.885,Very Healthy Plant,38.367,32.633,0.785,Very Healthy Plant,0.000
A54,16.6,2.387,124,712,62.133,32.139,0.641,Moderately Healthy Plant,33.183,41.992,0.872,Very Healthy Plant,54.033,34.386,0.825,Very Healthy Plant,0.000
A55,17.7,2.749,138,714,64.767,35.181,0.631,Moderately Healthy Plant,38.250,31.080,0.848,Very Healthy Plant,70.050,35.159,0.829,Very Healthy Plant,0.000
A56,14.8,2.183,65,715,59.800,17.382,0.530,Moderately Healthy Plant,39.617,20.447,0.839,Very Healthy Plant,53.367,14.050,0.809,Very Healthy Plant,0.000
A57,12.4,1.961,165,553,54.933,14.708,0.572,Moderately Healthy Plant,44.867,24.787,0.862,Very Healthy Plant,46.667,19.603,0.801,Very Healthy Plant,0.000
A58,14.5,2.121,150,720,56.067,21.016,0.591,Moderately Healthy Plant,38.433,36.329,0.841,Very Healthy Plant,38.733,27.624,0.838,Very Healthy Plant,0.000
A59,11.9,1.882,133,669,48.417,12.774,0.612,Moderately Healthy Plant,48.200,22.256,0.848,Very Healthy Plant,43.483,16.709,0.807,Very Healthy Plant,0.000
A60,17.4,2.885,106,640,49.700,27.305,0.607,Moderately Healthy Plant,39.550,31.919,0.845,Very Healthy Plant,45.333,29.737,0.828,Very Healthy Plant,0.000
A61,18.5,2.662,88,710,50.733,30.468,0.562,Moderately Healthy Plant,44.500,39.368,0.790,Very Healthy Plant,54.733,33.890,0.801,Very Healthy Plant,0.000
A62,17.7,2.5,67,803,50.083,37.022,0.518,Moderately Healthy Plant,68.700,47.837,0.837,Very Healthy Plant,41.017,38.061,0.755,Very Healthy Plant,0.000
A63,11.6,2.126,95,497,54.650,11.949,0.469,Moderately Healthy Plant,55.450,34.278,0.830,Very Healthy Plant,44.017,12.422,0.706,Very Healthy Plant,0.000
A64,18.1,3.24,128,629,63.733,30.241,0.571,Moderately Healthy Plant,58.700,22.311,0.830,Very Healthy Plant,46.833,26.958,0.801,Very Healthy Plant,2.205
A65,18.5,2.523,105,853,48.950,39.331,0.530,Moderately Healthy Plant,49.683,37.428,0.841,Very Healthy Plant,45.383,41.139,0.782,Very Healthy Plant,0.000
A66,16.8,2.373,117,805,50.650,36.534,0.492,Moderately Healthy Plant,64.883,39.438,0.849,Very Healthy Plant,47.450,38.209,0.751,Very Healthy Plant,0.000
A67,21.2,2.782,74,785,50.533,30.909,0.569,Moderately Healthy Plant,49.100,30.927,0.847,Very Healthy Plant,46.067,30.252,0.794,Very Healthy Plant,0.000
A68,17,2.43,77,720,49.783,27.440,0.585,Moderately Healthy Plant,43.767,30.718,0.840,Very Healthy Plant,45.783,28.700,0.811,Very Healthy Plant,0.000
A69,13.7,2.157,155,600,48.333,22.097,0.606,Moderately Healthy Plant,37.833,23.650,0.845,Very Healthy Plant,53.050,24.680,0.802,Very Healthy Plant,0.000
A70,15.4,2.387,154,756,49.883,24.008,0.403,Moderately Healthy Plant,47.417,31.438,0.860,Very Healthy Plant,59.767,26.176,0.772,Very Healthy Plant,0.000
A71,17.1,2.543,97,636,48.517,20.161,0.481,Moderately Healthy Plant,52.350,20.038,0.874,Very Healthy Plant,49.067,17.059,0.831,Very Healthy Plant,1.675
A72,13.1,1.866,76,684,54.917,16.274,0.606,Moderately Healthy Plant,43.733,21.430,0.855,Very Healthy Plant,44.250,15.358,0.791,Very Healthy Plant,0.000
A73,9.8,2.301,140,438,62.867,5.598,0.614,Moderately Healthy Plant,60.350,5.810,0.865,Very Healthy Plant,52.883,5.716,0.752,Very Healthy Plant,0.000
A74,11,2.059,137,368,67.867,7.349,0.565,Moderately Healthy Plant,64.967,12.600,0.843,Very Healthy Plant,52.817,6.934,0.746,Very Healthy Plant,0.000
A75,16,2.261,92,735,50.133,24.682,0.583,Moderately Healthy Plant,55.217,38.290,0.892,Very Healthy Plant,45.167,26.336,0.837,Very Healthy Plant,0.000
A76,14.1,2.272,157,658,49.383,22.366,0.567,Moderately Healthy Plant,71.000,27.960,0.816,Very Healthy Plant,61.917,22.228,0.833,Very Healthy Plant,0.000
A77,12.5,1.233,107,625,48.217,15.705,0.536,Moderately Healthy Plant,64.300,13.944,0.832,Very Healthy Plant,57.783,17.276,0.822,Very Healthy Plant,0.000
A78,16.8,2.127,93,818,50.000,36.075,0.597,Moderately Healthy Plant,41.033,34.268,0.846,Very Healthy Plant,46.683,35.447,0.815,Very Healthy Plant,0.000
A79,19.6,2.593,97,814,49.817,40.352,0.566,Moderately Healthy Plant,64.967,42.644,0.848,Very Healthy Plant,48.650,40.176,0.791,Very Healthy Plant,0.000
A80,18.5,2.018,74,836,50.817,44.631,0.543,Moderately Healthy Plant,80.133,48.463,0.840,Very Healthy Plant,45.533,46.771,0.800,Very Healthy Plant,0.000
A81,18.2,2.607,190,780,49.133,39.684,0.527,Moderately Healthy Plant,43.300,45.688,0.746,Very Healthy Plant,49.017,41.351,0.756,Very Healthy Plant,0.000
A82,18.6,3.623,130,877,58.067,50.852,0.553,Moderately Healthy Plant,42.383,54.786,0.818,Very Healthy Plant,50.217,49.134,0.771,Very Healthy Plant,0.000
A83,22.3,2.997,54,980,51.033,51.552,0.605,Moderately Healthy Plant,42.650,60.458,0.854,Very Healthy Plant,39.700,50.334,0.818,Very Healthy Plant,0.000
A84,19.4,3.109,128,862,58.700,53.554,0.564,Moderately Healthy Plant,45.250,43.721,0.836,Very Healthy Plant,40.267,49.781,0.818,Very Healthy Plant,0.000
A85,19,2.394,24,667,51.633,20.499,0.538,Moderately Healthy Plant,58.100,15.973,0.840,Very Healthy Plant,40.383,20.651,0.817,Very Healthy Plant,0.000
A86,26.6,2.614,54,990,56.383,47.860,0.570,Moderately Healthy Plant,45.267,40.934,0.843,Very Healthy Plant,40.717,43.397,0.728,Very Healthy Plant,0.000
A87,17.1,2.533,112,792,49.617,47.430,0.434,Moderately Healthy Plant,41.500,46.844,0.755,Very Healthy Plant,47.250,38.973,0.775,Very Healthy Plant,0.000
